PA_ID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,GAZ_AREA,GIS_AREA,REPT_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,X_COORD,Y_COORD,MGT_PLAN,RES_NUMBER,EPBC,SHAPE_AREA,SHAPE_LEN
WA_18698,Unnamed WA18698,Nature Reserve,NR,IA,Y,149.721,149.83331453,149.83331453,"""1924-08-22T00:00:00.000Z""","""1924-08-22T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.34129548,-32.67427605,I,WA18698,State,0.000144046287364,0.0616166663799
WA_18705,Sir James Mitchell,National Park,NP,II,Y,247,173.26207451,173.26207451,"""1924-08-29T00:00:00.000Z""","""1924-08-29T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,116.14611876,-34.34546216,M,WA18705,State,0.000169805630157,0.432315276371
WA_18730,McGlinn,Nature Reserve,NR,IA,Y,292.4815,292.42255131,292.42255131,"""1924-09-26T00:00:00.000Z""","""1924-09-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.72605594,-32.94954072,I,WA18730,State,0.000281983800674,0.0752867244779
WA_18739,Mill Brook,Nature Reserve,NR,IA,Y,1483.818,1484.01147735,1484.01147735,"""1924-10-03T00:00:00.000Z""","""1924-10-03T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.83945565,-34.86135516,M,WA18739,State,0.00146288988956,0.174520273978
WA_18741,Sleeman Creek,Nature Reserve,NR,IA,Y,416.1509,416.1817033,416.1817033,"""1924-10-03T00:00:00.000Z""","""1924-10-03T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.64346073,-34.83592326,M,WA18741,State,0.000410133758503,0.0823200650666
WA_18772,Napier,Nature Reserve,NR,IA,Y,219.0654,219.01294505,219.01294505,"""1924-11-14T00:00:00.000Z""","""1924-11-14T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.97460312,-34.75401507,M,WA18772,State,0.000215619972818,0.0629530986506
WA_18798,Unnamed WA18798,5(1)(h) Reserve,S5H,VI,Y,7.6713,7.67292335,7.67292335,"""1924-12-12T00:00:00.000Z""","""1924-12-12T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.65522926,-31.95032646,I,WA18798,State,0.00000731897213934,0.0114562507176
WA_18950,Unnamed WA18950,Nature Reserve,NR,IA,Y,4.0469,4.04618743,4.04618743,"""1925-07-24T00:00:00.000Z""","""1925-07-24T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.66777181,-30.78899312,I,WA18950,State,0.00000381305597115,0.00783200021432
WA_18952,East Yornaning,Nature Reserve,NR,IA,Y,247.9523,247.91513329,247.91513329,"""1925-07-24T00:00:00.000Z""","""1925-07-24T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.36929583,-32.74731203,I,WA18952,State,0.000238531032594,0.075943033136
WA_18987,Porongurup,National Park,NP,II,Y,2620.962,2685.90271395,2685.90271395,"""1925-09-04T00:00:00.000Z""","""1925-09-04T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.89574733,-34.68403502,M,WA18987,State,0.00264206468486,0.554741788614
WA_19036,Unnamed WA19036,Nature Reserve,NR,IA,Y,9.0295,9.02964133,9.02964133,"""1901-01-01T00:00:00.000Z""","""1901-01-01T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.67561288,-30.79521909,I,WA19036,State,0.00000850990984995,0.011952633435
WA_19068,Unnamed WA19068,Nature Reserve,NR,IA,Y,43.5037,44.72022944,44.72022944,"""1901-01-01T00:00:00.000Z""","""1901-01-01T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.78810439,-33.85133297,I,WA19068,State,0.0000435652461121,0.0310538274865
